~~~~~~~~~~~~~~~
Text File : monsname_kor.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	알
MONSNAME_381	라티오스
MONSNAME_382	가이오가
MONSNAME_383	그란돈
MONSNAME_384	레쿠쟈
MONSNAME_385	지라치
MONSNAME_386	테오키스
MONSNAME_387	모부기
MONSNAME_388	수풀부기
MONSNAME_389	토대부기
MONSNAME_390	불꽃숭이
MONSNAME_391	파이숭이
MONSNAME_392	초염몽
MONSNAME_393	팽도리
MONSNAME_394	팽태자
MONSNAME_395	엠페르트
MONSNAME_396	찌르꼬
MONSNAME_397	찌르버드
MONSNAME_398	찌르호크
MONSNAME_399	비버니
MONSNAME_400	비버통
MONSNAME_401	귀뚤뚜기
MONSNAME_402	귀뚤톡크
MONSNAME_403	꼬링크
MONSNAME_404	럭시오
MONSNAME_405	렌트라
MONSNAME_406	꼬몽울
MONSNAME_407	로즈레이드
MONSNAME_408	두개도스
MONSNAME_409	램펄드
MONSNAME_410	방패톱스
MONSNAME_411	바리톱스
MONSNAME_412	도롱충이
MONSNAME_413	도롱마담
MONSNAME_414	나메일
MONSNAME_415	세꿀버리
MONSNAME_416	비퀸
MONSNAME_417	파치리스
MONSNAME_418	브이젤
MONSNAME_419	플로젤
MONSNAME_420	체리버
MONSNAME_421	체리꼬
MONSNAME_422	깝질무
MONSNAME_423	트리토돈
MONSNAME_424	겟핸보숭
MONSNAME_425	흔들풍손
MONSNAME_426	둥실라이드
MONSNAME_427	이어롤
MONSNAME_428	이어롭
MONSNAME_429	무우마직
MONSNAME_430	돈크로우
MONSNAME_431	나옹마
MONSNAME_432	몬냥이
MONSNAME_433	랑딸랑
MONSNAME_434	스컹뿡
MONSNAME_435	스컹탱크
MONSNAME_436	동미러
MONSNAME_437	동탁군
MONSNAME_438	꼬지지
MONSNAME_439	흉내내
MONSNAME_440	핑복
MONSNAME_441	페라페
MONSNAME_442	화강돌
MONSNAME_443	딥상어동
MONSNAME_444	한바이트
MONSNAME_445	한카리아스
MONSNAME_446	먹고자
MONSNAME_447	리오르
MONSNAME_448	루카리오
MONSNAME_449	히포포타스
MONSNAME_450	하마돈
MONSNAME_451	스콜피
MONSNAME_452	드래피온
MONSNAME_453	삐딱구리
MONSNAME_454	독개굴
MONSNAME_455	무스틈니
MONSNAME_456	형광어
MONSNAME_457	네오라이트
MONSNAME_458	타만타
MONSNAME_459	눈쓰개
MONSNAME_460	눈설왕
MONSNAME_461	포푸니라
MONSNAME_462	자포코일
MONSNAME_463	내룸벨트
MONSNAME_464	거대코뿌리
MONSNAME_465	덩쿠림보
MONSNAME_466	에레키블
MONSNAME_467	마그마번
MONSNAME_468	토게키스
MONSNAME_469	메가자리
MONSNAME_470	리피아
MONSNAME_471	글레이시아
MONSNAME_472	글라이온
MONSNAME_473	맘모꾸리
MONSNAME_474	폴리곤Z
MONSNAME_475	엘레이드
MONSNAME_476	대코파스
MONSNAME_477	야느와르몽
MONSNAME_478	눈여아
MONSNAME_479	로토무
MONSNAME_480	유크시
MONSNAME_481	엠라이트
MONSNAME_482	아그놈
MONSNAME_483	디아루가
MONSNAME_484	펄기아
MONSNAME_485	히드런
MONSNAME_486	레지기가스
MONSNAME_487	기라티나
MONSNAME_488	크레세리아
MONSNAME_489	피오네
MONSNAME_490	마나피
MONSNAME_491	다크라이
MONSNAME_492	쉐이미
MONSNAME_493	아르세우스
MONSNAME_494	비크티니
MONSNAME_495	주리비얀
MONSNAME_496	샤비
MONSNAME_497	샤로다
MONSNAME_498	뚜꾸리
MONSNAME_499	차오꿀
MONSNAME_500	염무왕
MONSNAME_501	수댕이
MONSNAME_502	쌍검자비
MONSNAME_503	대검귀
MONSNAME_504	보르쥐
MONSNAME_505	보르그
MONSNAME_506	요테리
MONSNAME_507	하데리어
MONSNAME_508	바랜드
MONSNAME_509	쌔비냥
MONSNAME_510	레파르다스
MONSNAME_511	야나프
MONSNAME_512	야나키
MONSNAME_513	바오프
MONSNAME_514	바오키
MONSNAME_515	앗차프
MONSNAME_516	앗차키
MONSNAME_517	몽나
MONSNAME_518	몽얌나
MONSNAME_519	콩둘기
MONSNAME_520	유토브
MONSNAME_521	켄호로우
MONSNAME_522	줄뮤마
MONSNAME_523	제브라이카
MONSNAME_524	단굴
MONSNAME_525	암트르
MONSNAME_526	기가이어스
MONSNAME_527	또르박쥐
MONSNAME_528	맘박쥐
MONSNAME_529	두더류
MONSNAME_530	몰드류
MONSNAME_531	다부니
MONSNAME_532	으랏차
MONSNAME_533	토쇠골
MONSNAME_534	노보청
MONSNAME_535	동챙이
MONSNAME_536	두까비
MONSNAME_537	두빅굴
MONSNAME_538	던지미
MONSNAME_539	타격귀
MONSNAME_540	두르보
MONSNAME_541	두르쿤
MONSNAME_542	모아머
MONSNAME_543	마디네
MONSNAME_544	휠구
MONSNAME_545	펜드라
MONSNAME_546	소미안
MONSNAME_547	엘풍
MONSNAME_548	치릴리
MONSNAME_549	드레디어
MONSNAME_550	배쓰나이
MONSNAME_551	깜눈크
MONSNAME_552	악비르
MONSNAME_553	악비아르
MONSNAME_554	달막화
MONSNAME_555	불비달마
MONSNAME_556	마라카치
MONSNAME_557	돌살이
MONSNAME_558	암팰리스
MONSNAME_559	곤율랭
MONSNAME_560	곤율거니
MONSNAME_561	심보러
MONSNAME_562	데스마스
MONSNAME_563	데스니칸
MONSNAME_564	프로토가
MONSNAME_565	늑골라
MONSNAME_566	아켄
MONSNAME_567	아케오스
MONSNAME_568	깨봉이
MONSNAME_569	더스트나
MONSNAME_570	조로아
MONSNAME_571	조로아크
MONSNAME_572	치라미
MONSNAME_573	치라치노
MONSNAME_574	고디탱
MONSNAME_575	고디보미
MONSNAME_576	고디모아젤
MONSNAME_577	유니란
MONSNAME_578	듀란
MONSNAME_579	란쿨루스
MONSNAME_580	꼬지보리
MONSNAME_581	스완나
MONSNAME_582	바닐프티
MONSNAME_583	바닐리치
MONSNAME_584	배바닐라
MONSNAME_585	사철록
MONSNAME_586	바라철록
MONSNAME_587	에몽가
MONSNAME_588	딱정곤
MONSNAME_589	슈바르고
MONSNAME_590	깜놀버슬
MONSNAME_591	뽀록나
MONSNAME_592	탱그릴
MONSNAME_593	탱탱겔
MONSNAME_594	맘복치
MONSNAME_595	파쪼옥
MONSNAME_596	전툴라
MONSNAME_597	철시드
MONSNAME_598	너트령
MONSNAME_599	기어르
MONSNAME_600	기기어르
MONSNAME_601	기기기어르
MONSNAME_602	저리어
MONSNAME_603	저리릴
MONSNAME_604	저리더프
MONSNAME_605	리그레
MONSNAME_606	벰크
MONSNAME_607	불켜미
MONSNAME_608	램프라
MONSNAME_609	샹델라
MONSNAME_610	터검니
MONSNAME_611	액슨도
MONSNAME_612	액스라이즈
MONSNAME_613	코고미
MONSNAME_614	툰베어
MONSNAME_615	프리지오
MONSNAME_616	쪼마리
MONSNAME_617	어지리더
MONSNAME_618	메더
MONSNAME_619	비조푸
MONSNAME_620	비조도
MONSNAME_621	크리만
MONSNAME_622	골비람
MONSNAME_623	골루그
MONSNAME_624	자망칼
MONSNAME_625	절각참
MONSNAME_626	버프론
MONSNAME_627	수리둥보
MONSNAME_628	워글
MONSNAME_629	벌차이
MONSNAME_630	버랜지나
MONSNAME_631	앤티골
MONSNAME_632	아이앤트
MONSNAME_633	모노두
MONSNAME_634	디헤드
MONSNAME_635	삼삼드래
MONSNAME_636	활화르바
MONSNAME_637	불카모스
MONSNAME_638	코바르온
MONSNAME_639	테라키온
MONSNAME_640	비리디온
MONSNAME_641	토네로스
MONSNAME_642	볼트로스
MONSNAME_643	레시라무
MONSNAME_644	제크로무
MONSNAME_645	랜드로스
MONSNAME_646	큐레무
MONSNAME_647	케르디오
MONSNAME_648	메로엣타
MONSNAME_649	게노세크트
MONSNAME_650	도치마론
MONSNAME_651	도치보구
MONSNAME_652	브리가론
MONSNAME_653	푸호꼬
MONSNAME_654	테르나
MONSNAME_655	마폭시
MONSNAME_656	개구마르
MONSNAME_657	개굴반장
MONSNAME_658	개굴닌자
MONSNAME_659	파르빗
MONSNAME_660	파르토
MONSNAME_661	화살꼬빈
MONSNAME_662	불화살빈
MONSNAME_663	파이어로
MONSNAME_664	분이벌레
MONSNAME_665	분떠도리
MONSNAME_666	비비용
MONSNAME_667	레오꼬
MONSNAME_668	화염레오
MONSNAME_669	플라베베
MONSNAME_670	플라엣테
MONSNAME_671	플라제스
MONSNAME_672	메이클
MONSNAME_673	고고트
MONSNAME_674	판짱
MONSNAME_675	부란다
MONSNAME_676	트리미앙
MONSNAME_677	냐스퍼
MONSNAME_678	냐오닉스
MONSNAME_679	단칼빙
MONSNAME_680	쌍검킬
MONSNAME_681	킬가르도
MONSNAME_682	슈쁘
MONSNAME_683	프레프티르
MONSNAME_684	나룸퍼프
MONSNAME_685	나루림
MONSNAME_686	오케이징
MONSNAME_687	칼라마네로
MONSNAME_688	거북손손
MONSNAME_689	거북손데스
MONSNAME_690	수레기
MONSNAME_691	드래캄
MONSNAME_692	완철포
MONSNAME_693	블로스터
MONSNAME_694	목도리키텔
MONSNAME_695	일레도리자드
MONSNAME_696	티고라스
MONSNAME_697	견고라스
MONSNAME_698	아마루스
MONSNAME_699	아마루르가
MONSNAME_700	님피아
MONSNAME_701	루차불
MONSNAME_702	데덴네
MONSNAME_703	멜리시
MONSNAME_704	미끄메라
MONSNAME_705	미끄네일
MONSNAME_706	미끄래곤
MONSNAME_707	클레피
MONSNAME_708	나목령
MONSNAME_709	대로트
MONSNAME_710	호바귀
MONSNAME_711	펌킨인
MONSNAME_712	꽁어름
MONSNAME_713	크레베이스
MONSNAME_714	음뱃
MONSNAME_715	음번
MONSNAME_716	제르네아스
MONSNAME_717	이벨타르
MONSNAME_718	지가르데
MONSNAME_719	디안시
MONSNAME_720	후파
MONSNAME_721	볼케니온
MONSNAME_722	나몰빼미
MONSNAME_723	빼미스로우
MONSNAME_724	모크나이퍼
MONSNAME_725	냐오불
MONSNAME_726	냐오히트
MONSNAME_727	어흥염
MONSNAME_728	누리공
MONSNAME_729	키요공
MONSNAME_730	누리레느
MONSNAME_731	콕코구리
MONSNAME_732	크라파
MONSNAME_733	왕큰부리
MONSNAME_734	영구스
MONSNAME_735	형사구스
MONSNAME_736	턱지충이
MONSNAME_737	전지충이
MONSNAME_738	투구뿌논
MONSNAME_739	오기지게
MONSNAME_740	모단단게
MONSNAME_741	춤추새
MONSNAME_742	에블리
MONSNAME_743	에리본
MONSNAME_744	암멍이
MONSNAME_745	루가루암
MONSNAME_746	약어리
MONSNAME_747	시마사리
MONSNAME_748	더시마사리
MONSNAME_749	머드나기
MONSNAME_750	만마드
MONSNAME_751	물거미
MONSNAME_752	깨비물거미
MONSNAME_753	짜랑랑
MONSNAME_754	라란티스
MONSNAME_755	자마슈
MONSNAME_756	마셰이드
MONSNAME_757	야도뇽
MONSNAME_758	염뉴트
MONSNAME_759	포곰곰
MONSNAME_760	이븐곰
MONSNAME_761	달콤아
MONSNAME_762	달무리나
MONSNAME_763	달코퀸
MONSNAME_764	큐아링
MONSNAME_765	하랑우탄
MONSNAME_766	내던숭이
MONSNAME_767	꼬시레
MONSNAME_768	갑주무사
MONSNAME_769	모래꿍
MONSNAME_770	모래성이당
MONSNAME_771	해무기
MONSNAME_772	타입:널
MONSNAME_773	실버디
MONSNAME_774	메테노
MONSNAME_775	자말라
MONSNAME_776	폭거북스
MONSNAME_777	토게데마루
MONSNAME_778	따라큐
MONSNAME_779	치갈기
MONSNAME_780	할비롱
MONSNAME_781	타타륜
MONSNAME_782	짜랑꼬
MONSNAME_783	짜랑고우
MONSNAME_784	짜랑고우거
MONSNAME_785	카푸꼬꼬꼭
MONSNAME_786	카푸나비나
MONSNAME_787	카푸브루루
MONSNAME_788	카푸느지느
MONSNAME_789	코스모그
MONSNAME_790	코스모움
MONSNAME_791	솔가레오
MONSNAME_792	루나아라
MONSNAME_793	텅비드
MONSNAME_794	매시붕
MONSNAME_795	페로코체
MONSNAME_796	전수목
MONSNAME_797	철화구야
MONSNAME_798	종이신도
MONSNAME_799	악식킹
MONSNAME_800	네크로즈마
MONSNAME_801	마기아나
MONSNAME_802	마샤도
MONSNAME_803	베베놈
MONSNAME_804	아고용
MONSNAME_805	차곡차곡
MONSNAME_806	두파팡
MONSNAME_807	제라오라
MONSNAME_808	멜탄
MONSNAME_809	멜메탈
MONSNAME_810	흥나숭
MONSNAME_811	채키몽
MONSNAME_812	고릴타
MONSNAME_813	염버니
MONSNAME_814	래비풋
MONSNAME_815	에이스번
MONSNAME_816	울머기
MONSNAME_817	누겔레온
MONSNAME_818	인텔리레온
MONSNAME_819	탐리스
MONSNAME_820	요씽리스
MONSNAME_821	파라꼬
MONSNAME_822	파크로우
MONSNAME_823	아머까오
MONSNAME_824	두루지벌레
MONSNAME_825	레돔벌레
MONSNAME_826	이올브
MONSNAME_827	훔처우
MONSNAME_828	폭슬라이
MONSNAME_829	꼬모카
MONSNAME_830	백솜모카
MONSNAME_831	우르
MONSNAME_832	배우르
MONSNAME_833	깨물부기
MONSNAME_834	갈가부기
MONSNAME_835	멍파치
MONSNAME_836	펄스멍
MONSNAME_837	탄동
MONSNAME_838	탄차곤
MONSNAME_839	석탄산
MONSNAME_840	과사삭벌레
MONSNAME_841	애프룡
MONSNAME_842	단지래플
MONSNAME_843	모래뱀
MONSNAME_844	사다이사
MONSNAME_845	윽우지
MONSNAME_846	찌로꼬치
MONSNAME_847	꼬치조
MONSNAME_848	일레즌
MONSNAME_849	스트린더
MONSNAME_850	태우지네
MONSNAME_851	다태우지네
MONSNAME_852	때때무노
MONSNAME_853	케오퍼스
MONSNAME_854	데인차
MONSNAME_855	포트데스
MONSNAME_856	몸지브림
MONSNAME_857	손지브림
MONSNAME_858	브리무음
MONSNAME_859	메롱꿍
MONSNAME_860	쏘겨모
MONSNAME_861	오롱털
MONSNAME_862	가로막구리
MONSNAME_863	나이킹
MONSNAME_864	산호르곤
MONSNAME_865	창파나이트
MONSNAME_866	마임꽁꽁
MONSNAME_867	데스판
MONSNAME_868	마빌크
MONSNAME_869	마휘핑
MONSNAME_870	대여르
MONSNAME_871	찌르성게
MONSNAME_872	누니머기
MONSNAME_873	모스노우
MONSNAME_874	돌헨진
MONSNAME_875	빙큐보
MONSNAME_876	에써르
MONSNAME_877	모르페코
MONSNAME_878	끼리동
MONSNAME_879	대왕끼리동
MONSNAME_880	파치래곤
MONSNAME_881	파치르돈
MONSNAME_882	어래곤
MONSNAME_883	어치르돈
MONSNAME_884	두랄루돈
MONSNAME_885	드라꼰
MONSNAME_886	드래런치
MONSNAME_887	드래펄트
MONSNAME_888	자시안
MONSNAME_889	자마젠타
MONSNAME_890	무한다이노

~~~~~~~~~~~~~~~
Text File : place_name_spe_kor.msbt
~~~~~~~~~~~~~~~
MAPNAME_KANTO	관동지방
MAPNAME_ZYOTO	성도지방
MAPNAME_HOUEN	호연지방
MAPNAME_SINOH	신오지방
MAPNAME_TOOKUHANARETATOTI	아주 먼 땅
MAPNAME_IISHU	하나지방
MAPNAME_KAROSU	칼로스지방
MAPNAME_HOLOHOLO	Pokémon GO
MAPNAME_VCKANTOH	관동지방
MAPNAME_AROORA	알로라지방
MAPNAME_VCZYOTO	성도지방
MAPNAME_LETSGO	관동지방
MAPNAME_GARARU	가라르지방
MAPNAME_HOME	Pokémon HOME

~~~~~~~~~~~~~~~
Text File : ribbon_kor.msbt
~~~~~~~~~~~~~~~
mes_ribbon_name_001	칼로스챔피언리본
mes_ribbon_name_002	챔피언리본
mes_ribbon_name_003	신오챔피언리본
mes_ribbon_name_004	절친리본
mes_ribbon_name_005	수행리본
mes_ribbon_name_006	그레이트배틀리본
mes_ribbon_name_007	마스터배틀리본
mes_ribbon_name_008	노력리본
mes_ribbon_name_009	뚝심리본
mes_ribbon_name_010	철렁리본
mes_ribbon_name_011	풀죽기리본
mes_ribbon_name_012	덜렁이리본
mes_ribbon_name_013	상쾌리본
mes_ribbon_name_014	잠보리본
mes_ribbon_name_015	방글방글리본
mes_ribbon_name_016	고저스리본
mes_ribbon_name_017	로열리본
mes_ribbon_name_018	고저스로열리본
mes_ribbon_name_019	브로마이드리본
mes_ribbon_name_020	발자국리본
mes_ribbon_name_021	레코드리본
mes_ribbon_name_022	레전드리본
mes_ribbon_name_023	컨트리리본
mes_ribbon_name_024	내셔널리본
mes_ribbon_name_025	어스리본
mes_ribbon_name_026	월드리본
mes_ribbon_name_027	클래식리본
mes_ribbon_name_028	프리미어리본
mes_ribbon_name_029	이벤트리본
mes_ribbon_name_030	버스데이리본
mes_ribbon_name_031	스페셜리본
mes_ribbon_name_032	메모리얼리본
mes_ribbon_name_033	위시리본
mes_ribbon_name_034	배틀챔피언리본
mes_ribbon_name_035	에리어챔피언리본
mes_ribbon_name_036	내셔널챔피언리본
mes_ribbon_name_037	월드챔피언리본
mes_ribbon_name_038	추억콘테스트리본
mes_ribbon_name_039	추억배틀리본
mes_ribbon_name_040	호연챔피언리본
mes_ribbon_name_041	콘테스트스타리본
mes_ribbon_name_042	근사함마스터리본
mes_ribbon_name_043	아름다움마스터리본
mes_ribbon_name_044	귀여움마스터리본
